importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Cerebellum,L,19,-21,-63,-18,4.05,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Cerebellum,R,19,21,-66,-18,4.47,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Sens.-mot. cortex,L,4,-51,-18,54,4.58,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Sens.-mot. cortex,R,4,51,-15,54,4.89,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Mid. temp. sulcus,L,21,-57,-3,-15,4.35,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Mid. temp. sulcus,R,21,63,-15,3,4.23,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR Switch > Stay and SR Switch > Stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,Ant. insula,R,47,27,27,-3,4.11,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR Switch > Stay and SR Switch > Stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,Lat. OFC,R,11,24,48,-6,3.63,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR Switch > Stay and SR Switch > Stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,dlPFC,L,46,-33,48,21,3.38,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR Switch > Stay and SR Switch > Stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,dlPFC,R,46,36,45,30,4.22,20,,,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Postcentral Gyrus,,3,-43,-24,58,,26,1286.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Cingulate Gyrus,,32,-3,26,42,,26,849.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Precuneus,,7,10,-72,42,,26,288.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Fusiform Gyrus,,37,37,-59,-14,,26,278.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Insula,,,42,21,5,,26,240.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Cerebellum,,,-35,-56,-23,,26,239.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Cingulate Gyrus,,23,5,-24,30,,26,94.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Thalamus,,,-11,-19,14,,26,28.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline, Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,Thalamus,,,13,-15,14,,26,13.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Cerebellum,,,37,-67,-18,,26,1789.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Medial Frontal Gyrus,,6,-3,5,53,,26,362.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Inferior Parietal Lobule,,40,33,-59,46,,26,199.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Posterior Cingulate,,,-3,-31,30,,26,194.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Middle Frontal Gyrus,,9,-51,26,37,,26,128.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Insula,,,-35,17,5,,26,123.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Middle Frontal Gyrus,,9,49,33,37,,26,80.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Insula,,,45,17,5,,26,53.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Putamen,,,-19,11,4,,26,16.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-1 Anticipation for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive; adult; visual cue,Inferior Parietal Lobule,,40,-51,-31,50,,26,7434.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,Fusiform Gyrus,,37,33,-47,-14,,26,7804.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,Cerebellum,,,17,-59,-50,,26,28.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,Cerebellum,,,-19,-47,-39,,26,13.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,Superior Parietal Lobule,,7,-31,69,50,,26,129.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,Middle Frontal Gyrus,,46,-51,-35,30,,26,64.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,Middle Occipital Gyrus,,18,-27,90,-6,,26,22.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,Middle Occipital Gyrus,,18,33,93,2,,26,22.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,Precuneus,,7,29,74,42,,26,16.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Precuneus,,7,33,-63,42,,26,428.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Insula,,,33,25,2,,26,370.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Inferior Parietal Lobule,,40,-39,-55,46,,26,238.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Precentral Gyrus,,6,-43,1,34,,26,149.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Fusiform Gyrus,,37,41,-63,-6,,26,97.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Middle Occipital Gyrus,,18,-27,-91,2,,26,83.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Cingulate Gyrus,,31,5,-39,38,,26,54.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Middle Frontal Gyrus,,8,9,21,50,,26,51.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Caudate,,,13,17,6,,26,36.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Insula,,,-31,21,2,,26,30.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Middle Temporal Gyrus,,37,-49,-35,-10,,26,29.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,Culmen,,,9,-27,-10,,26,17.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Occipital Gyrus,,19,42,-79,-6,,26,411.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Occipital Gyrus,,18,-35,-88,-2,,26,213.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Frontal Gyrus,,9,42,10,34,,26,193.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Parietal Lobule,,7,-31,-56,50,,26,160.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Frontal Gyrus,,9,-40,13,30,,26,131.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Thalamus,,,10,-15,10,,26,112.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Fusiform Gyrus,,37,49,-56,-11,,26,81.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Inferior Frontal Gyrus,,45,-35,26,10,,26,59.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Superior Frontal Gyrus,,6,10,13,53,,26,59.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Insula,,,33,21,5,,26,46.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Middle Frontal Gyrus,,6,37,1,66,,26,31.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,Small Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,Middle Frontal Gyrus,,6,-27,-8,58,,26,11.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Inferior Parietal Lobule,,40,42,-59,50,,26,258.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Middle Frontal Gyrus,,9,42,13,30,,26,211.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Inferior Occipital Gyrus,,18,-35,-91,-2,,26,146.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Precuneus,,19,-27,-63,42,,26,143.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Inferior Frontal Gyrus,,9,-43,5,34,,26,118.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Fusiform Gyrus,,20,37,-43,-18,,26,57.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Insula,,,33,26,2,,26,57.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Lingual Gyrus,,18,26,-88,-6,,26,53.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Superior Frontal Gyrus,,8,10,17,53,,26,39.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Middle Frontal Gyrus,,6,33,13,62,,26,25.0,0.005,,
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-2 Receipt for Adults during Choice trials compared with Baseline,Large Incentives > Baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue,Cingulate Gyrus,,23,1,-31,30,,26,21.0,0.005,,
