importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV,index_col,MNIX,MNIY,MNIZ,TALX,TALY,TALZ,significance
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,superior parietal lobule,,7,-31,69,50,,26,129.0,0.005,,,42,-31.0,69.0,50.0,-30.209,60.01,53.352,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,middle frontal gyrus,,46,-51,-35,30,,26,64.0,0.005,,,43,-51.0,-35.0,30.0,-49.08,-36.126,27.391,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,middle occipital gyrus,,18,-27,90,-6,,26,22.0,0.005,,,44,-27.0,90.0,-6.0,-26.002,83.781,4.757,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,middle occipital gyrus,,18,33,93,2,,26,22.0,0.005,,,45,33.0,93.0,2.0,30.091,85.629,12.774,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive; young; visual cue,precuneus,,7,29,74,42,,26,16.0,0.005,,,46,29.0,74.0,42.0,26.005,64.899,47.172,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,precuneus,,7,33,-63,42,,26,428.0,0.005,,,47,33.0,-63.0,42.0,29.351,-63.852,36.911,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,insula,,,33,25,2,,26,370.0,0.005,,,48,33.0,25.0,2.0,29.894,21.736,7.661,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,inferior parietal lobule,,40,-39,-55,46,,26,238.0,0.005,,,49,-39.0,-55.0,46.0,-38.025,-56.158,40.358,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,precentral gyrus,,6,-43,1,34,,26,149.0,0.005,,,50,-43.0,1.0,34.0,-41.519,-2.643,33.768,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,fusiform gyrus,,37,41,-63,-6,,26,97.0,0.005,,,51,41.0,-63.0,-6.0,37.182,-60.42,-6.048,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,middle occipital gyrus,,18,-27,-91,2,,26,83.0,0.005,,,52,-27.0,-91.0,2.0,-26.584,-86.867,-1.68,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,cingulate gyrus,,31,5,-39,38,,26,54.0,0.005,,,53,5.0,-39.0,38.0,3.249,-40.83,34.841,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,middle frontal gyrus,,8,9,21,50,,26,51.0,0.005,,,54,9.0,21.0,50.0,7.08,14.649,50.154,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,caudate,,,13,17,6,,26,36.0,0.005,,,55,13.0,17.0,6.0,11.128,14.059,10.44,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,insula,,,-31,21,2,,26,30.0,0.005,,,56,-31.0,21.0,2.0,-30.002,18.394,6.701,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,middle temporal gyrus,,37,-49,-35,-10,,26,29.0,0.005,,,57,-49.0,-35.0,-10.0,-46.921,-33.236,-8.456,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue,culmen,,,9,-27,-10,,26,17.0,0.005,,,58,9.0,-27.0,-10.0,7.373,-26.096,-7.257,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior occipital gyrus,,19,42,-79,-6,,26,411.0,0.005,,,59,42.0,-79.0,-6.0,38.071,-75.46,-7.241,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior occipital gyrus,,18,-35,-88,-2,,26,213.0,0.005,,,60,-35.0,-88.0,-2.0,-34.033,-83.706,-5.124,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior frontal gyrus,,9,42,10,34,,26,193.0,0.005,,,61,42.0,10.0,34.0,38.041,5.261,35.32,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior parietal lobule,,7,-31,-56,50,,26,160.0,0.005,,,62,-31.0,-56.0,50.0,-30.571,-57.44,43.952,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior frontal gyrus,,9,-40,13,30,,26,131.0,0.005,,,63,-40.0,13.0,30.0,-38.649,8.903,31.114,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,thalamus,,,10,-15,10,,26,112.0,0.005,,,64,10.0,-15.0,10.0,8.199,-16.279,11.59,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,fusiform gyrus,,37,49,-56,-11,,26,81.0,0.005,,,65,49.0,-56.0,-11.0,44.724,-53.531,-9.923,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,inferior frontal gyrus,,45,-35,26,10,,26,59.0,0.005,,,66,-35.0,26.0,10.0,-33.788,22.537,14.209,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 8-1 Receipt for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; outcome phase; decision making;MNI; monetary reward; small incentive;adult; visual cue,superior frontal gyrus,,6,10,13,53,,26,59.0,0.005,,,67,10.0,13.0,53.0,7.971,6.908,52.253,0.005
