importance,author,title,table_name,contrast,keywords,Left/Right,Name,X(R),Y(A),Z(S),NV,t,subjects,Broadman Area,cluster size,z-score,p value
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,postcentral gyrus,53.0,-17,46.0,,4.44,16,4,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,-31.0,-14,-21.0,,4.23,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,-7.0,4,8.0,,4.3,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,56.0,-38,49.0,,10.23,16,40,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,dorsolateral PFC,-52.0,35,14.0,,7.69,16,45,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,posterior temporal,-59.0,-52,21.0,,6.09,16,22,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,insula,49.0,14,-7.0,,5.95,16,48,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal/insula,-45.0,-7,-10.0,,5.88,16,21/48,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,60.0,-45,28.0,,5.84,16,40,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,thalamus,7.0,-10,11.0,,5.12,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,ventrolateral PFC,53.0,7,11.0,,5.02,16,6,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,49.0,-49,-35.0,,4.81,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal pole,-56.0,7,-14.0,,4.7,16,38/21,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,thalamus,-10.0,-10,14.0,,4.69,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,25.0,49,-7.0,,4.54,16,11,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,caudate,-17.0,-21,21.0,,4.45,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,anticipation phase,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,superior temporal gyrus,-63.0,0,-7.0,,4.29,16,21,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,21.0,39,-21.0,,5.45,16,11,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,-10.0,42,-24.0,,5.07,16,11,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,27.0,-1,-21.0,,4.77,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,-23.0,0,-16.0,,5.38,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,14.0,14,-10.0,,8.12,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,-21.0,14,-10.0,,6.94,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,28.0,-35,-3.0,,5.12,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,39.0,-21,-14.0,,4.85,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,fusiform gyrus,-38.0,-24,-17.0,,6.27,16,20,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,calcarine sulcus,7.0,-87,0.0,,5.41,16,17,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,cerebellum,-28.0,-45,-28.0,,5.25,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,14.0,-45,-14.0,,5.21,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,supplementary motor,25.0,-10,67.0,,4.75,16,6,,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Right,Insula,32.0,24,2.0,,7.22,50,,299.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Cerebellum (Lobule VI),-30.0,-58,-34.0,,6.13,50,,672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Cerebellum (Crus1),-42.0,-70,-20.0,,4.81,50,,672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Cerebellum (Crus1),-46.0,-48,-28.0,,4.62,50,,672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior parietal,-36.0,-50,44.0,,5.99,50,,1672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior parietal,-36.0,-44,38.0,,5.93,50,,1672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior parietal,-36.0,-44,38.0,,5.68,50,,1672.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Precentral,-44.0,2,28.0,,5.81,50,,695.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior frontal tri,-48.0,22,26.0,,5.0,50,,695.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior frontal tri,-38.0,20,26.0,,4.57,50,,695.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Insula,-30.0,24,-2.0,,5.31,50,,347.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior frontal tri,-44.0,16,4.0,,5.0,50,,347.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Inferior frontal oper,-54.0,12,2.0,,4.97,50,,347.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Cerebellum (Crus 2),-10.0,-76,-32.0,,4.65,50,,52.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Supplementary motor area,-8.0,12,48.0,,4.32,50,,65.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Left,Middle frontal,-26.0,4,50.0,,4.23,50,,98.0,,
++,Duggirala et al,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.,2-back > 0-back,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition,Right,Superior motor area,8.0,16,46.0,,4.19,50,,113.0,,
