importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,40,10.23,56,-38,49,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,dorsolateral PFC,45,7.69,-52,35,14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,posterior temporal,22,6.09,-59,-52,21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,insula,48,5.95,49,14,-7,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal/insula,21/48,5.88,-45,-7,-10,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,40,5.84,60,-45,28,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,thalamus,,5.12,7,-10,11,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,ventrolateral PFC,6,5.02,53,7,11,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,,4.81,49,-49,-35,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal pole,38/21,4.7,-56,7,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,thalamus,,4.69,-10,-10,14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,4.54,25,49,-7,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,caudate,,4.45,-17,-21,21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,superior temporal gyrus,21,4.29,-63,0,-7,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,5.45,21,39,-21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,11,5.07,-10,42,-24,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,,4.77,27,-1,-21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,,5.38,-23,0,-16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,,8.12,14,14,-10,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,,6.94,-21,14,-10,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,,5.12,28,-35,-3,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,,4.85,39,-21,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,fusiform gyrus,20,6.27,-38,-24,-17,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,calcarine sulcus,17,5.41,7,-87,0,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,cerebellum,,5.25,-28,-45,-28,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,,5.21,14,-45,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,supplementary motor,6,4.75,25,-10,67,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,R.,Ant. insula,13,,36.364,14.363,1.846,4.3,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,R.,NAcc,,,11.111,12.356,0.652,4.89,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,L.,NAcc,,,-9.091,10.296,0.543,5.11,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,R.,Caudate,,,10.101,9.061,4.831,5.76,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,L.,Caudate,,,-8.081,0.669,7.654,6.42,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,,Thalamus,,,-3.03,-14.055,13.407,4.86,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,,Mes. prefrontal ctx,32,,3.03,25.997,39.463,4.51,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,,Sup. motor area,6,,0.0,-6.643,52.977,3.96,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,L.,motor ctx.,4,,-28.283,-58.794,42.607,4.94,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain; no outcome,,Cerebellar vermis,,,0.0,-70.735,-35.079,4.67,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,R.,Ant. insula,13,,35.354,14.363,1.846,4.26,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,R.,Caudate,,,11.111,-3.81,15.035,4.62,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,L.,Caudate,,,-16.162,-3.501,8.522,4.16,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,,Thalamus,,,-8.081,-2.575,10.747,4.92,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,,Mes. prefrontal ctx,32,,4.04,30.991,42.991,4.33,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,L.,motor ctx.,4,,-34.343,-17.455,63.29,4.22,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach(converted); performance-dependent; potential loss; no outcome,,Cerebellar vermis,,,0.0,-63.888,-26.339,5.24,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain,,Mes. prefrontal ctx,10/32,,1.01,54.88,-3.98,4.45,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain,,Frontal pole,10/32,,2.02,66.566,11.13,4.33,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain,,Post. cingulate,26/30,,5.051,-53.645,21.113,4.03,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach(converted); performance-dependent; potential gain,,Parietal ctx,7,,4.04,-66.568,54.169,3.91,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,ventral striatum,,4.38,10,6,2,,441.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,,5.31,-8,8,2,,267.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,anterior insula/IFG,,7.67,32,26,-8,,1101.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,anterior insula/IFG,,7.12,-40,20,-12,,1083.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,orbitofrontal cortex,,4.21,-30,54,-4,,255.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,,4.64,-10,26,32,,555.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,,4.43,10,28,34,,135.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,medial temporal gyrus,,4.67,54,-38,-6,,441.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,medial temporal gyrus,,4.5,-58,-36,-16,,106.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,DLPFC,,4.65,44,18,24,,403.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,DLPFC,,3.72,40,36,16,,159.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,DLPFC,,3.92,-46,6,38,,215.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,,7.45,42,-90,-6,,2160.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,,6.41,-40,-90,-8,,2767.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,L,ventral striatum,,5.17,-6,10,2,,14.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,R,anterior insula/IFG,,5.0,40,26,-14,,13.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,lateral occipital cortex,,9.17,36,-96,-4,,612.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral occipital cortex,,5.82,-36,-92,-4,,201.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,,4.57,-52,10,22,,49.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,,4.56,-54,-2,32,,33.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,hippocampal area,,4.28,-18,-12,-16,,41.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,,4.39,-12,6,0,,34.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,gyrus fusiformis,,5.14,-30,-64,-10,,90.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,,gyrus fusiformis,,4.54,-24,-50,-12,,75.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,gyrus fusiformis,,4.42,34,-60,-14,,121.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,,5.94,42,-90,-4,,435.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,,5.45,-20,-98,-10,,215.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,MPFC,,5.53,2,50,-12,,1184.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,MPFC,,5.48,-8,34,-22,,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral orbitofrontal cortex,,4.04,-36,34,-18,,87.0,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,DLPFC,,4.08,-26,26,44,,76.0,,
