importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,nan,4.81,49,-49,-35,,,,,20,49,-49,-35,Outside defined BAs,48,-51,-26,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal pole,38/21,4.7,-56,7,-14,,,,,21,-56,7,-14,Left-Temporalpole (38),-54,3,-9,Left-Temporalpole ,38.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,thalamus,nan,4.69,-10,-10,14,,,,,22,-10,-10,14,Left-Thalamus,-9,-11,15,Left-Thalamus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,4.54,25,49,-7,,,,,23,25,49,-7,Right-AntPFC (10),24,44,-6,Right-AntPFC ,10.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,caudate,nan,4.45,-17,-21,21,,,,,24,-17,-21,21,Outside defined BAs,-16,-21,21,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,superior temporal gyrus,21,4.29,-63,0,-7,,,,,25,-63,0,-7,Left-SupTempGyrus (22),-60,-3,-2,Left-SupTempGyrus ,22.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,5.45,21,39,-21,,,,,26,21,39,-21,Right-OrbFrontal (11),20,33,-18,Right-OrbFrontal ,11.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,11,5.07,-10,42,-24,,,,,27,-10,42,-24,Left-OrbFrontal (11),-10,36,-23,Left-OrbFrontal ,11.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,nan,4.77,27,-1,-21,,,,,28,27,-1,-21,Right-Amygdala,26,-4,-14,Right-Amygdala,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,nan,5.38,-23,0,-16,,,,,29,-23,0,-16,Left-Amygdala,-23,-3,-10,Left-Amygdala,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,nan,8.12,14,14,-10,,,,,30,14,14,-10,Right-Caudate,13,10,-6,Right-Caudate,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,nan,6.94,-21,14,-10,,,,,31,-21,14,-10,Left-Putamen,-21,10,-5,Left-Putamen,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,nan,5.12,28,-35,-3,,,,,32,28,-35,-3,Right-Hippocampus,27,-35,1,Right-Hippocampus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,hippocampus,nan,4.85,39,-21,-14,,,,,33,39,-21,-14,Right-Hippocampus,37,-23,-7,Right-Hippocampus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,fusiform gyrus,20,6.27,-38,-24,-17,,,,,34,-38,-24,-17,Outside defined BAs,-36,-25,-11,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,calcarine sulcus,17,5.41,7,-87,0,,,,,35,7,-87,0,Right-PrimVisual (17),7,-84,4,Right-PrimVisual ,17.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,cerebellum,nan,5.25,-28,-45,-28,,,,,36,-28,-45,-28,Outside defined BAs,-26,-46,-20,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,cerebellum,nan,5.21,14,-45,-14,,,,,37,14,-45,-14,Outside defined BAs,14,-45,-7,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,supplementary motor,6,4.75,25,-10,67,,,,,38,25,-10,67,Right-PreMot+SuppMot (6),26,-5,61,Right-PreMot+SuppMot ,6.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,ventral striatum,nan,4.38,10,6,2,,441.0,,,60,10,6,2,Outside defined BAs,9,3,4,Outside defined BAs,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,nan,5.31,-8,8,2,,267.0,,,61,-8,8,2,Left-Caudate,-8,5,4,Left-Caudate,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,anterior insula/ifg,nan,7.67,32,26,-8,,1101.0,,,62,32,26,-8,Right-Insula (13),30,22,-3,Right-Insula ,13.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,anterior insula/ifg,nan,7.12,-40,20,-12,,1083.0,,,63,-40,20,-12,Left-ParsOrbitalis (47),-39,15,-7,Left-ParsOrbitalis ,47.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,orbitofrontal cortex,nan,4.21,-30,54,-4,,255.0,,,64,-30,54,-4,Left-AntPFC (10),-30,50,-3,Left-AntPFC ,10.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,nan,4.64,-10,26,32,,555.0,,,65,-10,26,32,Left-DorsalACC (32),-9,26,30,Left-DorsalACC ,32.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dorsal anterior cingulate cortex,nan,4.43,10,28,34,,135.0,,,66,10,28,34,Right-FrontEyeFields (8),9,28,31,Right-FrontEyeFields ,8.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,medial temporal gyrus,nan,4.67,54,-38,-6,,441.0,,,67,54,-38,-6,Right-MedTempGyrus (21),52,-39,0,Right-MedTempGyrus ,21.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,medial temporal gyrus,nan,4.5,-58,-36,-16,,106.0,,,68,-58,-36,-16,Left-MedTempGyrus (21),-54,-37,-9,Left-MedTempGyrus ,21.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,dlpfc,nan,4.65,44,18,24,,403.0,,,69,44,18,24,Right-Broca-Operc (44),42,18,25,Right-Broca-Operc ,44.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,,dlpfc,nan,3.72,40,36,16,,159.0,,,70,40,36,16,Right-dlPFC(lat) (46),39,35,17,Right-dlPFC(lat) ,46.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,dlpfc,nan,3.92,-46,6,38,,215.0,,,71,-46,6,38,Left-PreMot+SuppMot (6),-45,6,36,Left-PreMot+SuppMot ,6.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,nan,7.45,42,-90,-6,,2160.0,,,72,42,-90,-6,Right-SecVisual (18),43,-88,0,Right-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,nan,6.41,-40,-90,-8,,2767.0,,,73,-40,-90,-8,Left-SecVisual (18),-40,-88,-1,Left-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,L,ventral striatum,nan,5.17,-6,10,2,,14.0,,,74,-6,10,2,Left-Caudate,-6,7,4,Left-Caudate,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; high > low reward value level,R,anterior insula/ifg,nan,5.0,40,26,-14,,13.0,,,75,40,26,-14,Right-ParsOrbitalis (47),38,21,-8,Right-ParsOrbitalis ,47.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,lateral occipital cortex,nan,9.17,36,-96,-4,,612.0,,,76,36,-96,-4,Right-SecVisual (18),37,-93,1,Right-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral occipital cortex,nan,5.82,-36,-92,-4,,201.0,,,77,-36,-92,-4,Left-SecVisual (18),-36,-89,1,Left-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,dlpfc,nan,4.57,-52,10,22,,49.0,,,78,-52,10,22,Left-Broca-Operc (44),-50,8,22,Left-Broca-Operc ,44.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,dlpfc,nan,4.56,-54,-2,32,,33.0,,,79,-54,-2,32,Left-PreMot+SuppMot (6),-52,-2,31,Left-PreMot+SuppMot ,6.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,hippocampal area,nan,4.28,-18,-12,-16,,41.0,,,80,-18,-12,-16,Left-Hippocampus,-17,-14,-10,Left-Hippocampus,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,ventral striatum,nan,4.39,-12,6,0,,34.0,,,81,-12,6,0,Outside defined BAs,-12,3,3,Outside defined BAs,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,gyrus fusiformis,nan,5.14,-30,-64,-10,,90.0,,,82,-30,-64,-10,Left-Fusiform (37),-29,-64,-4,Left-Fusiform ,37.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,,gyrus fusiformis,nan,4.54,-24,-50,-12,,75.0,,,83,-24,-50,-12,Left-Fusiform (37),-23,-50,-6,Left-Fusiform ,37.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,gyrus fusiformis,nan,4.42,34,-60,-14,,121.0,,,84,34,-60,-14,Right-Fusiform (37),34,-60,-7,Right-Fusiform ,37.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,R,lateral occipital cortex,nan,5.94,42,-90,-4,,435.0,,,85,42,-90,-4,Right-SecVisual (18),43,-88,1,Right-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,L,lateral occipital cortex,nan,5.45,-20,-98,-10,,215.0,,,86,-20,-98,-10,Left-SecVisual (18),-20,-95,-4,Left-SecVisual ,18.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,mpfc,nan,5.53,2,50,-12,,1184.0,,,87,2,50,-12,Right-AntPFC (10),1,44,-13,Right-AntPFC ,10.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,,mpfc,nan,5.48,-8,34,-22,,,,,88,-8,34,-22,Left-OrbFrontal (11),-8,29,-20,Left-OrbFrontal ,11.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,lateral orbitofrontal cortex,nan,4.04,-36,34,-18,,87.0,,,89,-36,34,-18,Left-ParsOrbitalis (47),-35,29,-14,Left-ParsOrbitalis ,47.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,dlpfc,nan,4.08,-26,26,44,,76.0,,,90,-26,26,44,Left-FrontEyeFields (8),-25,27,40,Left-FrontEyeFields ,8.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,L,hippocampal area,nan,5.09,-22,-18,-22,,310.0,,,91,-22,-18,-22,Left-Parahipp (36),-21,-19,-15,Left-Parahipp ,36.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,R,hippocampal area,nan,5.43,22,-16,-24,,189.0,,,92,22,-16,-24,Right-Parahipp (36),21,-18,-16,Right-Parahipp ,36.0
